STATE_NAME,RECFIN_YEAR,RECFIN_PORT_NAME,RECFIN_TRIP_TYPE_NAME,AGENCY_WATER_AREA_NAME,AGENCY_FISHED_AREA_NAME,RECFIN_MODE_NAME,FISHERY_MANAGEMENT_PLAN,STOCK_COMPLEX_NAME,SPECIES_GROUP_NAME,SPECIES_NAME,SCIENTIFIC_NAME,AGENCY_LENGTH,AGENCY_LENGTH_UNITS,IS_AGENCY_LENGTH_WITHIN_MAX,AGENCY_WEIGHT,AGENCY_WEIGHT_UNITS,RECFIN_LENGTH_MM,RECFIN_IMPUTED_LENGTH,RECFIN_LENGTH_TYPE,RECFIN_IMPUTED_WEIGHT_KG,RECFIN_SEX_CODE,RECFIN_SEX_NAME,IS_RETAINED,CAUGHT_BY_OBSERVED_ANGLER,SOURCE_CODE
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,254,,T,0.33,,254,,,0.3198,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,289,,T,0.47,,289,,,0.4726,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,273,,T,0.4,,273,,,0.3978,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,300,,T,0.5,,300,,,0.5291,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,300,,T,0.55,,300,,,0.5291,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,306,,T,0.54,,306,,,0.5617,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,276,,T,0.39,,276,,,0.4112,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,281,,T,0.39,,281,,,0.4341,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,299,,T,0.56,,299,,,0.5238,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,265,,T,0.36,,265,,,0.3636,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,300,,T,0.54,,300,,,0.5291,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,315,,T,0.66,,315,,,0.6132,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,255,,T,0.31,,255,,,0.3237,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,280,,T,0.49,,280,,,0.4295,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,264,,T,0.41,,264,,,0.3595,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,294,,T,0.51,,294,,,0.4977,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,268,,T,0.31,,268,,,0.3762,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,276,,T,0.42,,276,,,0.4112,,,RETAINED,,BIO
